Date,Open,High,Low,Close,Volume
2024-01-01,150.00,155.00,148.50,153.20,12500000
2024-01-02,153.20,157.80,152.10,156.40,13800000
2024-01-03,156.40,158.90,154.30,155.10,11200000
2024-01-04,155.10,160.20,154.80,159.75,15600000
2024-01-05,159.75,162.50,158.20,161.30,14300000
2024-01-08,161.30,163.80,159.40,162.90,12900000
2024-01-09,162.90,165.10,161.20,164.50,16200000
2024-01-10,164.50,166.80,163.10,165.20,13500000
2024-01-11,165.20,167.40,164.00,166.80,11800000
2024-01-12,166.80,169.20,165.50,168.30,14700000
2024-01-15,168.30,170.50,167.10,169.90,12100000
